Pos	Red	Green	Blue	
1128	106	107	64	
1129	107	111	68	
1130	104	113	69	
1131	102	111	68	
1132	105	111	70	
1133	107	106	67	
1134	106	103	65	
1135	103	104	63	
1136	100	104	59	
1137	102	105	60	
1138	102	103	62	
1139	101	102	65	
1140	101	101	67	
1141	102	102	67	
1142	102	103	64	
1143	105	107	65	
1144	105	109	69	
1145	101	105	66	
1146	98	103	65	
1147	97	104	69	
1148	98	103	71	
1149	100	101	69	
1150	104	103	70	
1151	107	106	68	
1152	104	105	64	
1153	100	104	61	
1154	99	107	63	
1155	100	106	62	
1156	99	104	59	
1157	98	104	60	
1158	99	106	63	
1159	102	107	67	
1160	102	106	67	
1161	102	105	65	
1162	104	106	65	
1163	102	104	63	
1164	101	102	63	
1165	106	108	69	
1166	106	108	67	
1167	103	106	62	
1168	101	106	62	
1169	99	103	59	
1170	99	102	61	
1171	101	101	60	
1172	101	100	55	
1173	99	102	55	
1174	100	104	58	
1175	101	104	62	
1176	104	106	67	
1177	103	106	70	
1178	102	104	69	
1179	103	103	66	
1180	102	104	63	
1181	103	106	66	
1182	103	105	68	
1183	105	104	68	
1184	105	102	66	
1185	103	104	64	
1186	104	107	65	
1187	104	107	65	
1188	104	108	67	
1189	101	106	65	
1190	101	105	63	
1191	102	105	63	
1192	103	105	64	
1193	105	105	67	
1194	103	103	66	
1195	100	101	63	
1196	101	106	64	
1197	102	107	63	
1198	100	105	61	
1199	99	106	65	
1200	97	105	68	
1201	100	106	71	
1202	99	104	67	
1203	96	103	64	
1204	100	105	66	
1205	101	102	65	
1206	101	102	64	
1207	102	107	69	
1208	101	106	68	
1209	101	105	66	
1210	102	105	65	
1211	100	103	65	
1212	100	104	67	
1213	101	107	69	
1214	103	108	67	
1215	103	107	67	
1216	103	106	72	
1217	103	105	72	
1218	102	104	64	
1219	106	106	65	
1220	107	105	66	
1221	103	101	63	
1222	101	99	62	
1223	99	99	62	
1224	99	100	64	
1225	99	100	65	
1226	99	99	64	
1227	99	100	62	
1228	98	100	61	
1229	99	101	62	
1230	97	100	61	
1231	98	100	62	
1232	97	100	61	
1233	96	99	60	
1234	95	96	60	
1235	95	91	58	
1236	96	91	60	
1237	95	92	62	
1238	97	95	62	
1239	97	95	62	
1240	96	95	60	
1241	98	98	61	
1242	98	98	57	
1243	99	97	57	
1244	100	96	61	
1245	97	94	61	
1246	93	92	61	
1247	94	94	63	
1248	93	94	65	
1249	92	90	62	
1250	90	86	57	
1251	90	83	58	
1252	85	81	62	
1253	78	78	61	
1254	72	75	57	
1255	69	70	51	
1256	69	71	55	
1257	67	69	54	
1258	62	65	51	
1259	63	66	51	
1260	62	66	50	
1261	60	65	49	
1262	58	62	46	
1263	57	59	44	
1264	57	60	48	
1265	55	58	49	
1266	52	55	49	
1267	50	53	45	
1268	46	50	40	
1269	46	52	40	
1270	46	53	42	
1271	45	51	44	
1272	41	46	44	
1273	39	46	46	
1274	41	50	47	
1275	40	48	44	
1276	40	48	46	
1277	41	49	48	
1278	39	46	46	
1279	37	44	45	
