Pos	Red	Green	Blue	
1057	47	48	83	
1058	47	45	78	
1059	46	47	77	
1060	44	46	75	
1061	43	46	74	
1062	43	47	73	
1063	45	48	76	
1064	49	50	84	
1065	46	49	82	
1066	47	50	79	
1067	47	52	79	
1068	46	50	80	
1069	48	50	81	
1070	48	50	78	
1071	45	48	77	
1072	44	48	76	
1073	47	52	79	
1074	49	52	78	
1075	48	50	77	
1076	50	51	80	
1077	51	52	81	
1078	51	52	82	
1079	49	50	82	
1080	45	47	81	
1081	47	49	82	
1082	46	51	82	
1083	45	52	81	
1084	44	50	79	
1085	43	48	77	
1086	46	48	77	
1087	47	50	77	
1088	48	51	78	
1089	47	50	78	
1090	46	49	76	
1091	49	48	77	
1092	49	47	78	
1093	47	45	77	
1094	46	46	77	
1095	46	49	78	
1096	47	49	79	
1097	48	49	77	
1098	46	48	72	
1099	46	48	69	
1100	45	49	72	
1101	43	47	67	
1102	42	47	62	
1103	43	46	62	
1104	44	46	67	
1105	44	46	68	
1106	44	45	64	
1107	44	43	62	
1108	45	43	64	
1109	46	45	70	
1110	45	46	73	
1111	47	48	74	
1112	48	49	70	
1113	45	47	67	
1114	46	48	70	
1115	47	49	71	
1116	49	51	72	
1117	48	51	75	
1118	49	51	80	
1119	51	54	77	
1120	48	52	69	
1121	46	50	65	
1122	45	49	71	
1123	45	48	72	
1124	45	47	69	
1125	43	45	64	
1126	42	45	63	
1127	42	46	66	
1128	42	45	69	
1129	42	46	72	
1130	44	47	73	
1131	45	47	71	
1132	45	49	70	
1133	43	48	71	
1134	43	49	78	
1135	45	52	84	
1136	44	49	81	
1137	43	46	79	
1138	43	45	77	
1139	44	45	77	
1140	41	42	76	
1141	42	45	76	
1142	41	43	72	
1143	39	40	60	
1144	37	38	55	
1145	35	36	49	
1146	34	36	53	
1147	33	32	50	
1148	33	32	44	
1149	35	35	45	
1150	37	36	49	
1151	39	38	51	
1152	43	41	53	
1153	40	39	51	
1154	42	41	51	
1155	44	44	56	
1156	43	43	60	
1157	43	43	62	
1158	42	40	57	
1159	39	37	55	
1160	38	36	56	
1161	38	38	62	
1162	43	44	71	
1163	42	42	72	
1164	40	39	66	
1165	42	41	61	
1166	40	40	58	
1167	41	43	62	
1168	42	45	70	
1169	41	44	73	
1170	39	41	69	
1171	38	42	67	
1172	39	44	69	
1173	41	45	69	
1174	41	45	70	
1175	40	43	68	
1176	40	44	69	
1177	38	43	68	
1178	36	41	67	
1179	38	40	61	
1180	40	39	54	
1181	42	38	49	
1182	42	37	47	
1183	37	33	40	
1184	37	31	33	
1185	38	29	26	
1186	38	29	29	
1187	37	28	23	
1188	35	27	14	
1189	34	27	12	
1190	34	28	17	
1191	34	28	16	
1192	34	26	10	
1193	36	26	7	
1194	38	27	10	
1195	41	30	15	
1196	45	32	20	
1197	44	31	18	
1198	43	30	14	
1199	41	28	11	
1200	46	31	14	
1201	53	33	19	
1202	66	35	25	
1203	76	41	35	
1204	94	48	43	
1205	104	51	52	
1206	118	53	54	
1207	127	59	62	
1208	133	62	64	
1209	131	60	62	
1210	131	61	59	
1211	132	61	54	
1212	132	60	50	
1213	131	60	51	
1214	133	61	55	
1215	135	59	55	
1216	139	60	52	
1217	139	60	51	
1218	136	58	54	
1219	132	56	56	
1220	130	55	58	
1221	130	56	58	
1222	131	57	58	
1223	133	59	58	
1224	135	58	56	
1225	136	55	54	
1226	136	55	57	
1227	134	58	60	
1228	133	59	60	
1229	135	59	59	
1230	139	59	56	
1231	142	58	56	
1232	146	59	60	
1233	147	59	59	
1234	148	58	57	
1235	148	59	57	
1236	146	60	59	
1237	145	61	59	
1238	142	61	57	
1239	140	61	56	
1240	138	60	55	
1241	139	60	56	
1242	137	57	55	
1243	132	54	54	
1244	130	57	54	
1245	133	58	55	
1246	134	56	54	
1247	134	57	56	
1248	137	60	62	
1249	140	61	61	
1250	146	61	56	
1251	148	60	55	
1252	149	61	60	
1253	146	61	60	
1254	144	60	57	
1255	143	60	59	
1256	143	63	65	
1257	146	63	68	
1258	148	61	64	
1259	150	61	62	
1260	151	62	62	
1261	150	63	63	
1262	148	63	64	
1263	146	62	63	
1264	145	60	59	
1265	145	59	60	
1266	144	61	66	
1267	143	61	69	
1268	144	60	67	
1269	148	61	67	
1270	149	61	66	
1271	147	59	60	
1272	146	61	57	
1273	146	59	52	
1274	141	57	51	
1275	138	57	52	
1276	132	55	54	
1277	129	55	55	
1278	125	54	52	
1279	122	52	49	
